DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_load_forecast_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_LU_load_actual_entsoe_transparency,DE_LU_load_forecast_entsoe_transparency,DE_LU_solar_generation_actual,DE_LU_wind_generation_actual,DE_LU_wind_offshore_generation_actual,DE_LU_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_load_forecast_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_load_forecast_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_load_forecast_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual,hour,day,month,year,lag_1_hour,rolling_24_hour_mean
38830.26,37351.15,38914.0,0.0,0.0,33973.0,14925.41,0.4393,2238.0,2363.28,1.056,31736.0,12562.13,0.3958,7340.2,6717.44,0.0,4226.16,209.83,4016.33,,,,,,,15220.18,14669.05,0.0,2889.0,11722.15,10936.66,0.0,7470.13,2153.45,5316.68,4547.73,5028.0,0.0,340.12,1,9,5,2016,38518.28,43640.27479166667
51453.6,51183.76,38772.0,10500.54,0.2708,33426.0,13117.970000000001,0.3924,2219.0,2120.69,0.9557,31207.0,10997.28,0.3524,9600.72,10032.2,1273.0,4933.259999999999,14.15,4919.11,,,,,,,19951.92,19510.47,2391.34,682.0,16295.46,15543.09,4474.2,7495.31,2106.54,5388.77,5605.5,6098.0,2362.0,7.4,12,20,3,2016,53117.6,48555.337604166656
64947.09,62684.32,39034.0,15378.1,0.394,34424.0,2496.1,0.0725,2294.0,20.42,0.0089,32130.0,2475.68,0.0771,12117.2,10376.6,3211.0,313.40999999999997,8.89,304.52,,,,,,,23495.0,23796.67,3644.01,912.0,20446.95,19370.05,5674.09,1055.61,11.53,1044.08,8887.94,9141.0,2849.0,215.08,12,15,6,2016,66149.59,56968.323541666665
61718.66,61621.17,38865.0,20541.11,0.5285,33834.0,3534.2799999999997,0.1045,2219.0,534.43,0.2408,31615.0,2999.85,0.0949,11367.0,10495.8,5228.0,1283.8100000000002,258.43,1025.38,,,,,,,22405.84,23103.75,5114.79,134.0,19434.76,19747.62,7107.32,2105.62,276.0,1829.62,8511.06,8274.0,3091.0,10.85,13,21,4,2016,63657.69,57229.96552083333
63495.45,62445.71,49971.0,26121.8,0.5227,49798.0,2549.56,0.0512,5545.0,690.84,0.1246,44253.0,1858.72,0.042,12587.8,12756.34,7631.0,497.66,78.55,419.11,64017.45,63002.71,26121.8,2549.56,690.84,1858.72,24014.54,23671.78,5918.19,336.0,19250.66,18733.59,9218.61,1526.0,612.29,913.71,7642.45,7284.0,3354.0,189.9,10,23,8,2019,65138.51,54941.6640625
53202.55,54574.48,47367.0,3342.13,0.0706,48880.0,10330.470000000001,0.2113,5039.0,2206.79,0.4379,43841.0,8123.68,0.1853,11406.4,9807.13,505.0,4238.94,303.21,3935.73,53672.07,55036.48,3342.13,10330.470000000001,2206.79,8123.68,19375.36,20848.21,1100.93,1553.0,16396.24,18294.46,1334.2,4317.32,1903.58,2413.74,6024.55,5624.68,402.0,221.21,10,24,12,2018,52832.8,47902.66239583333
47299.77,47601.53,40620.0,0.12,0.0,38872.0,2745.11,0.0706,2974.0,511.23,0.1719,35898.0,2233.88,0.0622,8770.33,8586.71,0.0,326.03000000000003,32.8,293.23,,,,,,,18165.53,18579.96,0.06,793.0,14656.71,14424.44,0.06,1593.3100000000002,478.43,1114.88,5707.2,6010.42,0.0,32.77,19,14,5,2017,47495.6,43378.752604166664
41420.84,42905.15,37826.0,0.0,0.0,30211.0,4875.03,0.1614,1921.0,364.34,0.1897,28290.0,4510.69,0.1594,7476.27,7476.27,0.0,2092.44,136.3,1956.14,,,,,,,16022.29,15396.72,0.0,997.0,12751.29,14394.16,0.0,1699.1399999999999,228.04,1471.1,5170.99,5638.0,0.0,86.45,22,12,7,2015,43962.62,43481.315833333334
48016.16,48802.55,44766.0,5867.26,0.1311,46154.0,4886.46,0.1059,3540.0,222.58,0.0629,42613.0,4663.88,0.1094,9719.33,9106.16,1386.0,1256.5700000000002,42.44,1214.13,,,,,,,17996.26,18406.31,1523.74,718.0,14601.94,15887.6,2318.52,2866.39,180.14,2686.25,5698.63,5402.48,639.0,45.5,16,22,7,2018,47001.06,43742.48385416667
46467.3,48793.61,37628.0,1543.94,0.041,29342.0,2138.15,0.0729,1403.0,226.59,0.1615,27940.0,1911.56,0.0684,8393.75,7979.92,372.0,1616.38,52.72,1563.66,,,,,,,18054.44,18282.08,434.91,77.0,14794.57,16895.61,530.03,443.27,173.87,269.4,5224.54,5636.0,207.0,1.5,17,10,5,2015,45956.24,42546.073958333334
